epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1146.64,1.27809,0.85369,1.05078,0.70702,0.60679,0.62126,0.21983,2.2521,1.75035,1.83646,0.00079705,0.00079705,0.00079705
43,1174.5,1.27672,0.8038,1.04614,0.63679,0.61667,0.58747,0.2015,2.30187,2.03175,1.83281,0.0007921,0.0007921,0.0007921
44,1202.16,1.31383,0.80151,1.05544,0.78958,0.51783,0.58999,0.20967,2.24532,2.05453,1.89329,0.00078715,0.00078715,0.00078715
45,1230.13,1.23574,0.7867,1.03736,0.72622,0.56756,0.60012,0.18027,2.33255,2.07645,1.98637,0.0007822,0.0007822,0.0007822
46,1258.75,1.27287,0.78497,1.03757,0.70754,0.62078,0.67894,0.23251,2.27812,1.78933,2.0326,0.00077725,0.00077725,0.00077725
47,1286.97,1.22546,0.75702,1.03536,0.75591,0.62078,0.70778,0.23241,2.34776,1.79909,2.07072,0.0007723,0.0007723,0.0007723
48,1315.16,1.23266,0.77893,1.05819,0.7157,0.59033,0.6485,0.21005,2.3492,1.82433,2.0261,0.00076735,0.00076735,0.00076735
49,1342.85,1.25233,0.76027,1.04796,0.75933,0.55206,0.62415,0.18455,2.43171,1.75429,2.18223,0.0007624,0.0007624,0.0007624
50,1370.49,1.24424,0.78575,1.03245,0.67867,0.54149,0.62418,0.20884,2.27094,1.83217,1.96175,0.00075745,0.00075745,0.00075745
51,1398.31,1.2021,0.74442,1.00619,0.6913,0.55946,0.63917,0.19573,2.40308,1.75439,2.12832,0.0007525,0.0007525,0.0007525
52,1426.73,1.19748,0.74655,1.01729,0.67708,0.68327,0.71665,0.24459,2.29452,1.64048,2.02943,0.00074755,0.00074755,0.00074755
53,1455.29,1.18257,0.71542,1.02209,0.75711,0.6715,0.73041,0.26363,2.25222,1.50247,1.9759,0.0007426,0.0007426,0.0007426
54,1483.42,1.19535,0.70961,1.00668,0.78031,0.63089,0.6951,0.26688,2.14228,1.58243,1.87868,0.00073765,0.00073765,0.00073765
55,1512.1,1.16291,0.71849,1.0124,0.81018,0.63873,0.70566,0.2842,2.05245,1.66932,1.79885,0.0007327,0.0007327,0.0007327
