epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
180,5215.37,0.60327,0.38408,0.83963,0.75575,0.69094,0.75323,0.28903,2.21628,1.39091,2.33924,0.00011395,0.00011395,0.00011395
181,5238.27,0.59647,0.38715,0.84812,0.74463,0.70377,0.75577,0.27752,2.29317,1.38941,2.46519,0.000109,0.000109,0.000109
182,5261.04,0.59316,0.37475,0.83585,0.76596,0.70379,0.77091,0.28632,2.28927,1.36177,2.43918,0.00010405,0.00010405,0.00010405
183,5283.92,0.59955,0.39107,0.83686,0.79086,0.71642,0.79564,0.28747,2.2995,1.34294,2.4545,9.91e-05,9.91e-05,9.91e-05
184,5306.84,0.5994,0.37915,0.85075,0.80126,0.71334,0.79776,0.28389,2.31405,1.32587,2.49775,9.415e-05,9.415e-05,9.415e-05
185,5329.66,0.60991,0.38591,0.84187,0.80746,0.7021,0.78246,0.28672,2.30422,1.33333,2.47888,8.92e-05,8.92e-05,8.92e-05
186,5352.55,0.56241,0.37128,0.83429,0.80793,0.70485,0.78466,0.2883,2.28803,1.35424,2.44954,8.425e-05,8.425e-05,8.425e-05
187,5375.4,0.55804,0.36774,0.83472,0.81085,0.7023,0.78281,0.28467,2.27954,1.34762,2.4426,7.93e-05,7.93e-05,7.93e-05
188,5398.5,0.58577,0.38199,0.8381,0.81348,0.70366,0.78402,0.28846,2.26657,1.33539,2.4315,7.435e-05,7.435e-05,7.435e-05
189,5421.5,0.57896,0.37391,0.83852,0.81395,0.70012,0.77852,0.2815,2.2859,1.33971,2.45556,6.94e-05,6.94e-05,6.94e-05
190,5444.52,0.57436,0.37142,0.83554,0.80155,0.69162,0.77555,0.28071,2.29374,1.32167,2.47594,6.445e-05,6.445e-05,6.445e-05
191,5466.88,0.5777,0.38036,0.83776,0.81733,0.69117,0.77517,0.28201,2.25478,1.3006,2.4359,5.95e-05,5.95e-05,5.95e-05
192,5491.91,0.52663,0.36053,0.83689,0.80742,0.68802,0.76521,0.27832,2.27199,1.31088,2.47476,5.455e-05,5.455e-05,5.455e-05
193,5515.89,0.5488,0.36835,0.83084,0.79935,0.68375,0.75321,0.27701,2.26069,1.32163,2.46767,4.96e-05,4.96e-05,4.96e-05
194,5540.84,0.50244,0.35641,0.82228,0.84303,0.6696,0.75508,0.27703,2.2244,1.34926,2.40618,4.465e-05,4.465e-05,4.465e-05
195,5565.78,0.52684,0.36046,0.82074,0.83487,0.66113,0.74192,0.27122,2.23495,1.37551,2.43628,3.97e-05,3.97e-05,3.97e-05
196,5590.28,0.49936,0.34789,0.8216,0.8229,0.6557,0.73793,0.26494,2.26914,1.40107,2.5,3.475e-05,3.475e-05,3.475e-05
197,5614.45,0.52211,0.36001,0.82732,0.81916,0.65106,0.73862,0.26678,2.26685,1.4036,2.50407,2.98e-05,2.98e-05,2.98e-05
198,5638.53,0.51884,0.35939,0.82811,0.81967,0.65395,0.74485,0.27362,2.23769,1.41493,2.45323,2.485e-05,2.485e-05,2.485e-05
199,5662.73,0.49406,0.34754,0.82286,0.82435,0.6624,0.74597,0.27432,2.23557,1.41977,2.44556,1.99e-05,1.99e-05,1.99e-05
200,5686.53,0.48989,0.34309,0.82323,0.82162,0.6661,0.74491,0.2718,2.24293,1.41224,2.45286,1.495e-05,1.495e-05,1.495e-05
